,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,0,6.942,3.643,7.283,7.758,5.798,3.537,6.739,3.643,2.519,5.676,3.935,1.45,1.35,3.362,1.725,4.741,5.49,6.06,0.948,5.206,3.055,4.47,5.709,7.853,4.228,4.068,6.321,6.014,7.148,5.085,3.878,8.162,7.349,6.7,6.882,6.69,8.15,8.511,7.37,7.111,8.118,5.38,4.925,0.606,4.516,3.572,7.357,6.105,0.581,4.484,5.023,3.481,3.604,6.445,4.795,3.392,5.383,8.523,4.14,3.416,5.433,3.158,3.404,5.739,3.699,4.777,5.31,4.307,6.051,3.219,3.422,2.8,4.52,5.367,3.909,5.662,4.212,3.191,5.159,5.802,3.638,4.777,2.783,5.644,5.162,4.622,5.793,3.809,5.788,3.115,4.077,5.555,3.948,4.629,3.57,3.291,6.103,7.137,8.342,8.217,5.467,8.868,10.936,14.758,6.855,6.897,6.122,10.04,15.769,7.332,14.689,8.737,6.484,9.256,6.063,5.824,9.386,9.551,10.032,8.181,15.253,7.043,15.635,7.73,10.763,14.305,8.949,7.477,10.634,9.019,7.031,13.133,6.519,10.351,7.342,18.925,20.497,23.652,18.515,16.645,17.941,18.546,21.681,17.272,19.125,18.208,23.563,19.167,16.921,18.871,17.929,23.349,20.832,17.602,18.832,20.462,25.544,17.58,17.004,19.073,18.079,17.647,17.985,17.489,22.821,18.927,16.967,8.211,15.272,10.708,8.067,10.763,8.353,8.862,9.045,8.649,8.685,11.182,10.269,9.759,8.122,8.45,10.367,15.525,11.087,11.607,11.167,10.411,9.467,8.484,8.625,9.646,9.827,9.141,9.069,9.151,14.354,3.884,10.452,5.319,6.593,6.081,4.358,6.392,3.513,3.343,2.964,4.673,6.88,5.911,4.673,6.858,4.109,4.109,3.725,4.856,3.575,5.06,4.924,6.534,3.743,4.927,5.322,7.923,3.979,7.851,14.738,11.023,7.47,8.01,7.382,10.74,8.645,15.336,13.631,12.294,11.859,5.817,7.438,10.808,11.278,10.176,6.322,7.192,15.075,12.228,7.808,7.845,7.51,13.59,8.085,7.663,11.686,6.413,7.328,8.629,10.274,12.16,12.789,7.227,6.576,13.4,8.19,10.389,6.517,10.938,6.714,7.412,9.726,7.579,7.603,8.283,11.333,6.841,7.26,6.089,6.718,18.614,6.572,11.414,6.576,3.541,2.588,2.178,2.997,2.637,2.366,0.853,1.478,1.297,4.017,3.243,2.037,4.317,1.352,2.241,0.621,2.02,2.499,3.145
1,6.483,0,4.313,1.539,1.768,3.848,4.907,2.229,4.405,4.053,2.056,3.03,6.28,5.477,4.191,6.097,2.175,3.099,3.982,5.778,2.531,3.916,5.995,4.243,1.863,3.72,4.971,0.991,4.27,0.322,3.21,5.486,2.075,0.564,2.908,0.77,2.085,2.063,2.06,0.544,0.824,2.031,2.507,3.636,6.142,5.419,4.942,1.957,1.089,6.078,5.387,2.548,4.851,5.081,2.825,2.32,3.757,3.03,2.072,10.477,8.283,11.77,8.178,10.651,12.076,8.719,10.206,10.144,9.562,12.362,9.556,8.357,9.137,10.857,11.704,8.776,11.783,10.333,9.528,11.496,12.139,8.915,10.206,9.12,11.765,11.499,10.959,12.13,9.238,11.909,7.982,9.506,11.892,10.285,9.649,9.907,8.671,12.44,6.425,9.699,6.721,5.444,8.71,8.483,11.986,7.174,6.156,7.455,9.656,13.243,9.028,12.194,8.579,8.489,9.098,5.948,8.231,9.072,9.393,8.114,6.531,12.481,8.048,13.545,8.96,8.845,11.489,8.397,7.119,8.181,8.861,8.388,8.146,8.736,8.433,6.601,11.946,13.409,17.349,12.532,9.959,11.958,12.21,15.345,11.289,13.06,11.276,13.633,14.11,10.938,13.814,11.946,12.619,13.547,11.619,12.496,12.807,19.241,11.597,11.021,14.016,11.147,11.664,11.299,10.557,16.518,13.456,10.984,14.842,15.654,13.082,12.848,8.453,14.984,12.742,12.925,14.569,15.303,13.428,9.517,9.21,14.606,14.147,9.9,15.907,13.333,8.211,8.382,9.944,12.958,15.115,13.628,9.405,9.205,13.246,12.536,12.041,14.736,9.797,7.999,15.075,10.638,10.645,10.3,10.412,9.426,9.256,8.877,10.615,9.591,11.164,10.615,10.194,10.022,10.022,9.638,10.798,9.1,14.816,10.866,9.922,9.987,14.683,15.814,10.622,9.892,17.649,20.481,16.978,16.891,17.431,16.803,16.695,18.42,21.079,22.399,21.062,19.233,15.164,16.859,19.075,17.233,16.131,16.761,16.539,20.818,17.971,17.229,17.62,16.931,22.358,17.506,17.438,20.454,12.534,13.317,19.244,23.779,26.118,35.486,19.206,12.697,26.653,19.126,24.347,22.807,24.896,13.051,21.532,23.33,19.822,21.502,18.898,25.291,22.71,21.805,12.21,23.22,31.878,22.503,25.372,12.913,9.785,8.832,8.124,9.241,8.881,6.881,7.225,7.722,7.541,10.261,9.487,7.923,10.561,7.724,8.485,6.669,8.264,8.285,9.389
2,3.315,4.296,0,4.867,5.342,2.811,3.848,5.403,3.654,1.362,3.299,1.525,2.492,3.012,1.915,2.877,2.682,2.503,3.073,2.61,4.847,1.087,5.244,2.722,5.437,1.241,4.22,4.174,3.027,4.502,4.483,4.427,5.746,4.744,4.323,4.236,5.463,5.734,6.24,4.724,4.465,5.702,3.003,2.005,2.704,4.668,3.883,4.941,3.77,2.91,4.636,3.687,3.792,4.33,3.95,3.459,0.556,4.781,6.252,7.51,6.273,7.528,5.848,6.774,7.834,6.389,7.823,7.807,6.956,9.712,6.589,6.112,6.17,6.615,7.462,6.766,9.323,7.873,6.561,7.302,7.897,6.532,7.823,6.153,9.305,8.532,6.717,7.888,6.855,9.449,5.972,7.123,7.65,7.318,7.319,6.94,6.248,8.198,4.15,4.904,5.23,2.029,4.158,7.949,7.413,3.417,3.91,2.684,5.33,8.795,3.894,7.344,4.027,3.046,4.546,3.076,2.386,4.676,4.841,7.045,5.194,7.908,3.605,9.097,4.292,5.557,6.96,4.239,4.49,7.647,4.309,3.593,5.158,3.081,7.364,4.355,18.548,15.182,20.665,14.305,16.268,13.731,18.169,23.69,13.062,14.833,17.831,20.576,15.883,12.711,15.587,13.719,20.362,21.085,13.392,18.455,17.475,22.557,13.37,12.794,15.789,17.702,13.437,17.608,17.112,19.834,15.229,12.757,10.19,18.696,16.124,10.046,11.495,10.332,10.841,11.024,11.287,10.846,16.47,12.559,12.252,10.101,10.429,12.942,18.949,16.375,11.253,11.424,12.986,11.446,10.463,10.604,11.625,12.247,11.12,11.048,11.13,17.778,5.59,7.465,7.025,8.328,7.816,6.093,8.127,5.219,5.049,4.67,6.408,9.057,7.646,6.408,9.66,5.815,5.815,5.431,6.591,4.893,6.766,6.659,9.388,6.316,6.633,7.057,10.088,5.685,9.994,19.947,16.444,9.263,10.169,9.413,16.161,15.625,20.545,19.604,18.267,18.699,7.523,9.469,18.541,16.699,15.597,8.816,8.898,20.284,17.437,10.06,14.825,9.762,19.563,10.337,14.643,17.659,10.074,10.857,16.449,13.935,15.821,16.45,9.322,10.237,17.061,16.331,14.05,10.178,14.599,8.809,11.073,13.387,9.674,11.264,16.103,14.994,10.502,10.921,9.75,10.379,24.587,10.233,15.075,8.671,6.114,5.161,5.235,5.57,5.21,3.62,4.057,4.051,3.87,6.59,5.816,3.716,6.054,4.234,4.391,3.575,4.593,4.078,5.718
3,6.752,1.493,4.822,0,0.635,4.357,5.176,2.185,4.493,4.562,2.565,3.539,6.549,5.746,4.962,6.366,2.583,3.608,4.491,6.047,2.599,4.425,6.083,4.752,0.73,4.229,5.059,1.163,5.864,1.395,3.278,5.755,1.039,1.259,3.467,1.814,2.153,1.027,1.388,1.419,1.897,0.995,2.818,3.947,6.411,5.507,5.211,1.146,1.261,6.347,5.475,2.616,5.12,5.169,3.334,2.388,4.266,3.098,1.4,10.746,8.552,12.039,8.447,10.92,12.345,8.988,10.475,10.413,9.831,12.631,9.825,8.626,9.406,11.126,11.973,9.045,12.052,10.602,9.797,11.765,12.408,9.184,10.475,9.389,12.034,11.768,11.228,12.399,9.507,12.178,8.251,9.775,12.161,10.554,9.918,10.176,8.94,12.709,6.585,9.859,6.881,8.642,8.87,8.992,12.146,7.334,6.316,7.615,9.816,13.403,9.188,12.354,8.739,8.649,9.258,6.108,8.391,9.232,9.553,8.274,6.691,12.641,8.208,13.705,9.12,9.005,11.649,8.557,7.279,8.69,9.021,8.548,10.113,8.896,8.593,6.761,11.274,13.569,17.509,12.692,9.287,12.118,11.538,14.673,11.449,13.22,10.604,13.793,11.563,11.098,11.267,12.106,12.779,13.707,11.779,11.824,12.967,19.401,11.757,11.181,11.469,10.475,11.824,10.627,9.885,16.678,13.616,11.144,15.014,15.826,13.254,13.02,8.625,15.156,12.914,13.097,14.741,15.475,13.6,9.689,9.382,14.778,14.319,10.072,16.079,13.505,8.383,8.554,10.116,13.13,15.287,13.8,9.577,9.377,13.418,12.708,12.213,14.908,10.066,8.508,15.235,11.147,11.154,10.569,10.921,9.695,9.525,9.146,10.884,10.1,11.673,10.884,10.703,10.291,10.291,9.907,11.067,9.369,14.976,11.135,10.431,10.256,14.843,15.974,11.131,10.161,17.809,24.003,20.5,17.051,17.591,16.963,20.217,18.58,24.601,22.559,21.222,22.755,15.324,17.019,22.597,20.755,19.653,16.921,16.699,24.34,21.493,17.389,17.78,17.091,22.518,17.666,17.598,20.614,12.803,13.586,19.404,23.951,26.29,35.658,19.366,12.966,26.825,19.286,24.519,22.979,25.068,13.32,21.704,23.502,19.982,21.674,19.058,25.463,22.882,21.977,12.479,13.108,32.05,22.675,25.544,13.182,10.054,9.101,8.393,9.51,9.15,8.627,7.494,7.991,7.81,10.53,9.756,8.192,10.83,7.993,8.754,6.938,8.533,8.554,9.658
4,7.477,2.059,5.547,0.885,0,5.082,5.901,1.861,5.218,5.287,3.29,4.264,7.274,6.471,5.687,7.091,3.308,4.333,5.216,6.772,3.324,5.15,6.808,5.477,0.671,4.954,5.784,1.888,6.589,1.961,4.003,6.48,0.482,1.825,4.192,2.572,2.017,0.47,0.831,1.985,2.463,0.438,3.543,4.672,7.136,6.232,5.936,1.871,1.986,7.072,6.2,3.341,5.845,5.894,4.059,3.113,4.991,3.823,0.843,11.471,9.277,12.764,9.172,11.645,13.07,9.713,11.2,11.138,10.556,13.356,10.55,9.351,10.131,11.851,12.698,9.77,12.777,11.327,10.522,12.49,13.133,9.909,11.2,10.114,12.759,12.493,11.953,13.124,10.232,12.903,8.976,10.5,12.886,11.279,10.643,10.901,9.665,13.434,7.31,10.584,7.606,9.367,9.595,9.717,12.871,8.059,7.041,8.34,10.541,14.128,9.913,13.079,9.464,9.374,9.983,6.833,9.116,9.957,10.278,8.999,7.416,13.366,8.933,14.43,9.845,9.73,12.374,9.282,8.004,9.415,9.746,9.273,10.838,9.621,9.318,7.486,10.717,11.845,13.583,12.236,8.73,11.662,10.981,14.116,12.174,10.964,10.047,12.069,11.006,10.642,10.71,12.831,12.323,11.983,11.323,11.267,13.692,16.901,12.482,10.725,10.912,9.918,11.368,10.07,9.328,17.403,10.766,10.688,15.009,15.821,13.249,13.015,8.62,15.151,12.909,13.092,14.736,15.47,13.595,9.684,9.377,14.773,14.314,10.067,16.074,13.5,8.378,8.549,10.111,13.125,15.282,13.795,9.572,9.372,13.413,12.703,12.208,14.903,10.791,9.233,15.96,11.872,11.879,11.294,11.646,10.42,10.25,9.871,11.609,10.825,12.398,11.609,11.428,11.016,11.016,10.632,11.792,10.094,15.701,11.86,11.156,10.981,15.568,16.699,11.856,10.886,18.534,24.728,21.225,17.776,18.316,17.688,20.942,19.305,25.326,23.284,21.947,23.48,16.049,17.744,23.322,21.48,20.378,17.646,17.424,25.065,22.218,18.114,18.505,17.816,23.243,18.391,18.323,21.339,13.528,14.311,20.129,23.946,26.285,35.653,20.091,13.691,26.82,20.011,24.514,22.974,25.063,14.045,21.699,23.497,20.707,21.669,19.783,25.458,22.877,21.972,13.204,13.833,32.045,22.67,25.539,13.907,10.779,9.826,9.118,10.235,9.875,9.352,8.219,8.716,8.535,11.255,10.481,8.917,11.555,8.636,9.479,7.663,9.258,9.279,10.383
5,5.121,4.207,2.277,7.822,8.177,0,4.489,8.6,3.655,2.81,3.21,1.874,4.298,4.028,2.366,4.425,2.593,1.316,0.747,4.416,4.799,2.668,5.245,0.807,8.272,1.437,4.221,4.085,0.658,4.413,4.435,5.151,8.581,4.655,3.91,4.147,8.456,8.569,8.93,4.635,4.376,8.537,2.914,2.007,4.51,4.669,4.432,7.896,3.681,4.716,4.637,3.639,4.316,4.331,2.763,3.411,2.133,4.733,8.942,8.794,7.862,12.691,7.757,8.058,13.154,8.298,9.107,9.723,9.141,10.996,7.873,7.936,7.454,12.709,13.406,8.355,10.607,9.157,7.845,12.091,12.285,7.816,9.107,7.437,10.589,13.972,12.467,13.436,8.139,14.607,7.561,8.407,12.653,8.602,9.228,8.224,7.532,13.518,2.362,5.377,3.442,2.662,4.093,5.308,7.825,2.554,2.122,2.738,5.265,8.73,4.411,7.756,3.962,3.872,4.481,1.288,3.281,4.611,4.776,5.257,3.406,8.32,3.431,8.702,4.343,5.988,7.372,4.174,2.702,5.006,4.244,3.771,4.971,4.119,5.576,2.567,17.272,13.394,18.877,12.517,14.992,11.943,16.893,21.902,11.274,13.045,16.555,18.788,14.095,10.923,13.799,11.931,18.574,19.297,11.604,17.179,15.687,20.769,11.582,11.006,14.001,13.866,11.649,16.332,15.836,18.046,13.441,10.969,10.191,21.698,19.126,10.047,14.497,10.333,10.842,11.025,11.288,10.847,19.472,15.561,15.254,10.102,10.43,15.944,21.951,19.377,14.255,14.426,15.988,19.002,10.464,10.605,15.449,15.249,11.121,18.58,18.085,20.78,10.25,4.824,10.492,7.463,7.47,10.881,7.237,7.232,7.062,6.683,11.196,6.416,7.989,11.196,7.019,9.978,9.978,11.233,8.272,6.906,10.233,11.231,6.747,8.122,10.1,7.874,7.447,10.764,13.066,17.306,13.803,12.308,12.848,12.22,13.52,13.837,17.904,17.816,16.479,16.058,10.581,12.276,15.9,14.058,12.956,12.178,12.948,17.643,14.796,12.646,13.037,12.348,17.775,12.923,12.855,15.871,14.816,15.981,14.661,20.498,22.384,23.013,14.623,14.979,23.624,14.543,20.613,18.731,21.162,15.372,19.866,19.95,15.239,20.098,14.315,21.557,18.513,18.7,16.184,19.144,22.799,19.135,21.638,13.991,7.92,6.967,6.519,7.376,7.016,5.633,5.863,5.857,5.676,10.896,7.622,5.729,10.859,6.04,6.404,5.381,6.399,6.091,7.524
6,3.228,4.858,3.926,5.199,5.674,5.275,0,4.655,1.191,2.989,3.592,3.07,3.025,2.222,2.799,2.842,2.657,3.736,5.044,2.523,3.122,2.852,1.28,5.186,5.769,3.851,0.373,4.237,5.491,5.064,3.001,0.762,6.078,5.265,4.616,4.798,4.606,6.066,6.427,5.286,5.027,6.034,3.296,2.851,2.887,1.493,0.131,5.273,4.021,2.823,1.199,2.939,0.191,0.314,4.361,2.711,3.37,3.299,6.439,6.361,3.823,7.654,3.718,6.224,7.96,4.259,5.746,5.684,5.102,7.902,5.44,3.897,5.021,6.741,7.588,4.316,7.591,5.906,5.412,7.38,8.023,4.455,5.746,5.004,7.338,7.255,6.843,8.014,4.778,7.482,3.522,5.046,7.776,6.337,5.189,5.791,4.211,8.324,6.614,9.334,7.694,5.445,8.345,9.545,11.6,6.806,6.374,6.1,9.517,12.982,8.663,11.531,8.214,6.462,8.733,5.54,5.802,8.863,9.028,9.509,7.658,12.095,7.683,13.284,8.595,10.24,11.147,8.426,6.954,9.243,8.496,8.023,9.208,6.497,9.828,6.819,16.841,18.413,23.129,16.431,14.561,15.857,16.462,19.597,15.188,17.041,16.124,18.774,17.083,14.837,16.787,15.845,16.518,18.748,15.518,16.748,19.939,22.382,15.496,14.92,16.989,15.995,15.563,15.901,15.405,22.298,16.843,14.883,6.012,12.478,8.509,5.868,8.564,6.154,6.663,6.846,7.109,6.668,8.983,8.07,7.56,5.923,6.251,8.168,12.731,8.888,9.523,8.968,8.212,7.268,6.285,6.426,7.447,7.628,6.942,6.87,6.952,10.273,6.542,9.061,7.977,9.28,8.768,7.045,9.079,6.171,6.001,5.622,7.36,9.567,8.598,7.36,9.545,6.767,6.767,6.383,7.543,5.845,7.718,7.611,9.221,6.732,7.585,8.009,10.581,6.637,10.072,17.396,13.681,9.691,10.231,9.603,13.398,10.866,17.994,15.852,14.515,14.517,8.475,9.659,13.466,13.936,12.834,9.561,9.85,17.733,14.886,10.029,10.066,9.731,15.811,10.306,9.884,13.907,8.107,8.89,10.85,11.968,13.854,14.483,9.448,8.27,15.094,10.411,12.083,8.211,12.632,8.935,9.106,11.42,9.8,9.297,10.504,13.027,8.535,8.954,7.783,8.412,15.858,8.266,13.108,8.72,6.53,5.577,3.895,5.986,5.626,5.103,3.97,4.467,4.286,7.119,6.232,4.668,7.306,4.469,5.23,3.414,5.009,5.03,6.134
7,6.34,2.415,5.677,1.725,2.286,5.033,4.764,0,4.081,4.74,3.276,4.459,6.137,5.334,4.55,5.954,3.055,4.757,5.167,5.635,1.656,4.603,5.671,5.428,2.381,5.154,4.647,1.874,6.595,2.393,2.566,5.343,1.954,2.257,4.178,2.525,0.416,1.942,2.303,2.417,2.692,1.91,3.694,3.872,5.999,5.095,4.799,1.678,1.972,5.935,5.063,2.204,4.708,4.757,4.045,1.976,5.121,2.285,2.315,10.334,8.14,11.627,8.035,10.508,11.933,8.576,10.063,10.001,9.419,12.219,9.413,8.214,8.994,10.714,11.561,8.633,11.64,10.19,9.385,11.353,11.996,8.772,10.063,8.977,11.622,11.356,10.816,11.987,9.095,11.766,7.839,9.363,11.749,10.142,9.506,9.764,8.528,12.297,7.316,10.59,7.612,6.878,9.601,9.668,12.877,8.065,7.047,8.346,10.547,14.134,9.919,13.085,9.47,9.38,9.989,6.839,9.122,9.963,10.284,9.005,7.422,13.372,8.939,14.436,9.851,9.736,12.38,9.288,8.01,9.366,9.752,9.279,9.331,9.627,9.324,7.492,20.571,14.3,18.24,13.423,9.459,12.849,20.192,23.327,12.18,13.951,10.776,14.524,11.735,11.829,11.439,12.837,13.51,14.438,12.51,20.478,13.698,26.112,12.488,11.912,11.641,10.647,12.555,10.799,10.057,17.409,11.495,11.875,13.708,14.52,11.948,11.714,7.319,13.85,11.608,11.791,13.435,14.169,12.294,8.383,8.076,13.472,13.013,8.766,14.773,12.199,7.077,7.248,8.81,11.824,13.981,12.494,8.271,8.071,12.112,11.402,10.907,13.602,9.654,9.184,11.089,11.823,11.88,10.157,11.597,9.283,9.113,8.734,10.472,10.776,11.71,10.472,11.379,9.879,9.879,9.495,10.655,8.957,10.83,10.723,11.107,9.844,10.697,11.121,11.807,9.749,14.045,21.666,18.163,13.664,14.204,13.576,17.88,26.152,22.264,28.172,28.037,20.418,11.587,13.632,20.26,18.418,17.316,13.534,12.962,22.003,19.156,14.002,14.039,13.704,28.131,14.279,13.857,27.429,12.391,13.174,20.135,22.645,24.984,34.352,13.421,12.554,25.519,20.017,23.213,21.673,23.762,12.908,20.398,22.196,13.773,20.368,19.789,24.157,21.576,20.671,12.067,22.086,30.744,21.369,24.238,12.77,9.642,8.689,7.981,9.098,8.738,8.215,7.082,7.579,7.398,10.118,9.344,7.78,10.418,7.499,8.342,6.526,8.121,8.142,9.246
8,3.334,3.941,3.606,4.282,4.757,3.86,1.191,3.738,0,2.669,2.675,2.388,3.131,2.328,2.479,2.948,1.74,2.686,3.994,2.629,2.188,2.532,1.731,4.255,4.852,3.083,0.707,3.32,4.282,4.147,2.067,1.637,5.161,4.348,3.699,3.881,3.689,5.149,5.51,4.369,4.11,5.117,2.379,1.801,2.993,1.155,0.918,4.356,3.104,2.929,1.123,2.022,0.802,0.817,3.444,1.794,3.05,2.365,5.522,7.328,4.488,8.621,4.383,6.889,8.927,4.924,6.411,6.349,5.767,8.567,6.407,4.562,5.988,7.708,8.555,4.981,8.256,6.571,6.379,8.347,8.99,5.12,6.411,5.971,8.003,8.35,7.81,8.981,5.443,8.147,4.187,5.711,8.743,7.002,5.854,6.758,4.876,9.291,5.81,8.564,6.89,4.807,7.541,8.495,11.012,6.002,5.57,6.186,8.713,12.178,7.859,10.943,7.41,5.824,7.929,4.736,5.164,8.059,8.224,8.705,6.854,11.507,6.879,11.889,7.791,9.436,10.559,7.622,6.15,8.193,7.692,7.219,8.158,5.859,9.024,6.015,15.924,17.496,18.147,13.793,13.644,13.219,15.545,18.68,12.55,16.124,15.207,14.894,16.166,12.199,15.87,13.207,13.88,14.808,12.88,15.831,14.068,21.465,12.858,12.282,16.072,15.078,12.925,14.984,14.488,21.494,15.926,12.245,6.677,13.143,9.174,6.533,8.831,6.819,7.328,7.511,7.774,7.333,9.648,8.735,8.225,6.588,6.916,8.833,13.396,9.553,8.589,8.76,8.877,7.933,6.95,7.091,8.112,8.293,7.607,7.535,7.617,10.938,6.648,8.011,8.083,9.386,8.874,7.151,9.185,6.277,6.107,5.728,7.466,9.603,8.704,7.466,9.651,6.873,6.873,6.489,7.649,5.951,7.824,7.717,9.327,6.838,7.691,8.115,10.687,6.743,11.039,20.493,13.787,10.658,11.198,10.57,13.504,11.833,21.091,16.819,15.482,14.623,8.581,10.626,19.087,14.042,12.94,10.528,9.956,20.83,17.983,10.996,11.033,10.698,16.778,11.273,10.851,14.874,8.772,9.555,11.817,12.633,14.519,15.148,10.415,8.935,15.759,11.378,12.748,8.876,13.297,9.902,9.771,12.085,10.767,9.962,11.471,13.692,9.2,9.619,8.448,9.077,21.802,8.931,13.773,9.764,6.636,5.683,4.975,6.092,5.732,5.209,4.076,4.573,4.392,7.112,6.338,4.774,7.412,4.493,5.336,3.52,5.115,5.136,6.24
9,2.311,4.534,1.381,5.105,5.58,2.947,3.067,5.085,3.173,0,3.537,1.522,1.488,2.008,1.295,1.873,2.92,2.639,3.209,1.606,4.734,0.417,4.164,2.858,5.675,1.802,3.598,4.412,3.163,4.74,4.613,3.646,5.984,4.982,4.561,4.474,5.036,5.972,6.478,4.962,4.703,5.94,3.241,2.243,1.7,4.046,3.102,5.179,4.008,1.906,4.014,3.369,3.011,3.134,4.086,3.141,0.966,4.911,6.49,6.506,5.269,6.524,4.844,5.77,6.83,5.385,6.819,6.803,5.952,8.708,5.585,5.108,5.166,5.611,6.458,5.762,8.319,6.869,5.557,6.298,6.893,5.528,6.819,5.149,8.301,7.528,5.713,6.884,5.851,8.445,4.968,6.119,6.646,6.314,6.315,5.936,5.244,7.194,4.286,5.916,5.366,3.041,6.017,8.085,9.272,4.478,4.046,3.696,7.189,10.654,4.906,9.203,5.886,4.058,6.405,3.212,3.398,6.535,6.7,7.181,5.33,9.767,5.355,10.956,5.304,7.912,8.819,6.098,4.626,7.783,6.168,4.605,7.748,4.093,7.5,4.491,18.684,15.318,20.801,14.441,16.404,13.867,18.305,23.826,13.198,14.969,17.967,20.712,16.019,12.847,15.723,13.855,20.498,21.221,13.528,18.591,17.611,22.693,13.506,12.93,15.925,17.838,13.573,17.744,17.248,19.97,15.365,12.893,8.896,18.578,11.393,8.752,11.377,9.038,9.547,9.73,10.142,9.552,11.867,10.954,10.444,8.807,9.135,11.052,18.831,11.772,11.135,11.306,11.096,10.152,9.169,9.31,10.331,10.512,9.826,9.754,9.836,17.66,4.563,7.601,5.998,7.301,6.789,5.066,7.1,4.192,4.022,3.643,5.381,7.588,6.619,5.381,7.566,4.788,4.788,4.404,5.564,3.866,5.739,5.632,7.242,5.312,5.606,6.03,8.602,4.658,8.99,15.417,11.702,8.236,9.142,8.386,11.419,10.112,16.015,14.927,13.59,12.538,6.496,8.442,11.487,11.957,10.855,7.789,7.871,15.754,12.907,9.033,9.312,8.735,14.886,9.31,9.13,12.982,9.07,9.853,9.72,12.931,14.817,15.446,8.318,9.233,16.057,9.281,13.046,9.174,13.595,7.805,10.069,12.383,8.67,10.26,9.374,13.99,9.498,9.917,8.746,9.375,19.91,9.229,14.071,7.667,5.11,4.157,4.231,4.566,4.206,3.124,3.053,3.047,2.866,5.586,4.812,2.689,5.886,3.23,3.364,2.571,3.589,3.051,4.714
