ORIGIN	DESTINATION	TIME_MIN	DISTANCE_METER
D_00139	D_00117	24.179	13466
D_00139	D_00088	31.670	22688
D_00139	D_00214	32.196	18964
D_00139	D_00267	36.986	24358
D_00139	D_00269	34.992	27725
D_00139	D_00156	10.706	4286
D_00139	D_00264	36.952	28742
D_00139	D_00239	34.774	21262
D_00139	D_00235	41.022	26802
D_00139	D_00074	36.242	22392
D_00139	D_00226	34.554	22052
D_00139	D_00251	36.163	21909
D_00139	D_00059	36.464	24834
D_00139	D_00151	10.374	4304
D_00139	D_00012	33.500	15816
D_00139	D_00286	37.778	25126
D_00139	D_00266	37.752	29291
D_00139	D_00044	34.238	18419
D_00139	D_00019	32.939	18055
D_00139	D_00121	28.581	20098
D_00139	D_00094	30.783	22516
D_00139	D_00014	31.253	14561
D_00139	D_00112	25.102	12977
D_00139	D_00200	32.762	19478
D_00139	D_00268	30.853	25927
D_00139	D_00010	25.499	14510
D_00139	D_00128	22.262	11517
D_00139	D_00120	20.759	10929
D_00139	D_00099	26.559	18917
D_00139	D_00083	35.368	24229
D_00139	D_00013	32.337	17754
D_00139	D_00280	38.741	29767
D_00139	D_00201	33.468	22683
D_00139	D_00260	35.220	23609
D_00139	D_00180	22.906	15162
D_00139	D_00062	32.898	23127
D_00139	D_00032	22.725	10768
D_00139	D_00283	37.622	28719
D_00139	D_00143	14.408	6347
D_00139	D_00163	4.664	2171
D_00139	D_00271	30.951	25897
D_00139	D_00293	37.416	17247
D_00139	D_00183	24.138	15852
D_00139	D_00275	31.527	26200
D_00139	D_00082	31.148	22642
D_00139	D_00162	2.272	990
D_00139	D_00259	40.570	39927
D_00139	D_00130	25.614	14070
D_00139	D_00031	32.877	22514
D_00139	D_00159	5.939	2852
D_00139	D_00106	20.392	10554
D_00139	D_00166	2.744	1081
D_00139	D_00135	21.906	10999
D_00139	D_00054	23.193	11452
D_00139	D_00015	33.472	18374
D_00139	D_00069	34.645	24279
D_00139	D_00238	32.653	19567
D_00139	D_00248	33.989	22023
D_00139	D_00187	19.272	13388
D_00139	D_00150	3.082	1439
D_00139	D_00009	29.167	14328
D_00139	D_00253	37.486	24857
D_00139	D_00018	22.995	11347
D_00139	D_00189	23.050	15320
D_00139	D_00217	34.959	20576
D_00139	D_00095	36.854	24635
D_00139	D_00103	28.238	20067
D_00139	D_00047	23.879	13601
D_00139	D_00242	35.753	26390
D_00139	D_00169	25.822	20049
D_00139	D_00291	34.253	27332
D_00139	D_00255	38.050	29281
D_00139	D_00142	6.471	2945
D_00139	D_00161	3.278	1506
D_00139	D_00262	41.632	31048
D_00139	D_00202	34.275	22035
D_00139	D_00292	37.303	28206
D_00139	D_00215	33.916	20219
D_00139	D_00061	34.568	21677
D_00139	D_00279	33.421	26898
D_00139	D_00165	9.773	3649
D_00139	D_00299	36.284	21197
D_00139	D_00208	34.342	20182
D_00139	D_00241	37.997	27492
D_00139	D_00097	36.205	22504
D_00139	D_00072	35.218	24246
D_00139	D_00084	35.153	24438
D_00139	D_00114	26.392	14421
D_00139	D_00193	23.111	15157
D_00139	D_00149	4.858	2437
D_00139	D_00045	32.622	17515
D_00139	D_00261	37.588	28737
D_00139	D_00125	25.622	13239
D_00139	D_00147	5.374	2102
D_00139	D_00065	30.372	22355
D_00139	D_00205	36.138	20856
D_00139	D_00234	37.609	31338
D_00139	D_00077	33.752	23580
D_00139	D_00188	24.666	15896
D_00139	D_00296	37.786	21594
D_00139	D_00174	24.002	17137
D_00139	D_00028	23.896	11548
D_00139	D_00294	34.461	27295
D_00139	D_00152	7.507	2830
D_00139	D_00107	22.579	11853
D_00139	D_00100	21.618	11119
D_00139	D_00113	26.349	12887
D_00139	D_00078	35.888	24637
D_00139	D_00206	35.118	20686
D_00139	D_00256	35.808	23647
D_00139	D_00067	30.624	22462
D_00139	D_00176	26.850	18964
D_00139	D_00232	36.951	26954
