epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42211,1.79788,3.77442,1.59049,0.0516,0.38333,0.10015,0.04953,1.52583,3.84619,1.53304,0.00012,0.00012,0.00012
2,4.34449,1.45489,3.62462,1.36149,0.07615,0.55,0.18635,0.10163,1.34302,3.6732,1.17344,0.00024835,0.00024835,0.00024835
3,6.27639,1.27214,3.47861,1.30277,0.04697,0.48333,0.17291,0.12183,1.37892,3.60683,1.13505,0.000374984,0.000374984,0.000374984
4,8.25044,1.21688,3.29431,1.22294,0.02798,0.58333,0.17368,0.13282,1.31705,3.53311,1.09149,0.000499902,0.000499902,0.000499902
5,10.4542,1.34058,3.25955,1.27568,0.02063,0.51667,0.11278,0.08014,1.2726,3.52122,1.13011,0.000623104,0.000623104,0.000623104
6,12.7027,1.23766,3.11479,1.22649,0.0203,0.48333,0.127,0.08639,1.23446,3.37748,1.17343,0.00074459,0.00074459,0.00074459
7,14.7583,1.21189,3.0324,1.20574,0.72809,0.09213,0.19529,0.1216,1.18877,3.10095,1.23685,0.00086436,0.00086436,0.00086436
8,16.7996,1.16021,2.87197,1.20299,0.81228,0.20903,0.29868,0.22797,1.11201,2.56019,1.17796,0.0009538,0.0009538,0.0009538
9,18.7796,1.19424,2.80706,1.20554,0.81228,0.20903,0.29868,0.22797,1.11201,2.56019,1.17796,0.0009472,0.0009472,0.0009472
10,20.7121,1.24121,2.57707,1.23258,0.63534,0.41667,0.32489,0.24982,1.24852,2.15359,1.20425,0.0009406,0.0009406,0.0009406
11,22.6572,1.25502,2.48654,1.263,0.64143,0.35,0.27111,0.20066,1.26556,2.22911,1.1996,0.000934,0.000934,0.000934
12,24.6573,1.20335,2.34532,1.21831,0.46356,0.31955,0.30906,0.23313,1.2822,2.86078,1.21312,0.0009274,0.0009274,0.0009274
13,26.3975,1.26402,2.30908,1.26128,0.50512,0.21987,0.3143,0.24938,1.2674,3.16811,1.28838,0.0009208,0.0009208,0.0009208
14,28.4229,1.30883,2.31149,1.27197,0.44046,0.36667,0.30236,0.21087,1.27022,2.87949,1.25955,0.0009142,0.0009142,0.0009142
15,30.3141,1.27541,2.15072,1.22837,0.44046,0.36667,0.30236,0.21087,1.27022,2.87949,1.25955,0.0009076,0.0009076,0.0009076
16,32.3662,1.26729,1.96124,1.22085,0.40658,0.48333,0.3577,0.23271,1.30271,2.6811,1.31872,0.000901,0.000901,0.000901
17,34.2203,1.20331,2.08519,1.23842,0.42619,0.53639,0.35659,0.23337,1.23899,2.31289,1.33471,0.0008944,0.0008944,0.0008944
18,36.2003,1.23471,1.8982,1.23092,0.41838,0.46619,0.36193,0.24,1.2258,2.45859,1.3192,0.0008878,0.0008878,0.0008878
19,38.2521,1.18004,1.92003,1.22209,0.42376,0.56667,0.58301,0.34374,1.19996,2.71812,1.3104,0.0008812,0.0008812,0.0008812
20,40.1588,1.2347,1.8466,1.2467,0.42376,0.56667,0.58301,0.34374,1.19996,2.71812,1.3104,0.0008746,0.0008746,0.0008746
21,41.9549,1.13229,1.70567,1.2033,0.45353,0.46667,0.57829,0.35397,1.16344,2.6678,1.33269,0.000868,0.000868,0.000868
22,44.124,1.18519,1.75544,1.22617,0.46938,0.57785,0.604,0.38182,1.21086,2.51251,1.36509,0.0008614,0.0008614,0.0008614
